"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Navigate","Opens a method in a PHP editor","Ctrl+Shift+M","Editing PHP source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Next Page","Alt+F7","In Windows"
"File","Print","Ctrl+P","In Windows"
"Refactor - PHP","Extract Variable","Alt+Shift+M","DLTK View"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Navigate","Open Selection","F3","Editing PHP source"
"Run/Debug","Run Maven Build","Alt+\","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Toggle Comment","Ctrl+/","Editing PHP source"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","Editing PHP source"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Run/Debug","Step Over","F6","Debugging"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing PHP source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Script Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"StartExplorer","Open Files With Default Application","Ctrl+Alt+A","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Open Type","Ctrl+Shift+T","DLTK View"
"Edit","Format","Ctrl+Shift+F","Editing PHP source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"Text Editing","Zoom Out","Ctrl+-","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","Chromium Debug"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Window","Update Project","Alt+F5","In Windows"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Refactor - DLTK","Rename - Refactoring ","Alt+Shift+R","Editing Script Source"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"File","Refresh","F5","In Windows"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Run/Debug","Debug CLI Application","Alt+Shift+D, H","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Window","Next View","Ctrl+F7","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing PHP source"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Script Source"
"Project","Build All","Ctrl+B","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Refactor - DLTK","Show Refactor Quick Menu","Alt+Shift+T","Editing Script Source"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Git","Pull...","Alt+U","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing PHP source"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing PHP source"
"Script Source","Toggle Comment","Ctrl+Shift+C","Editing Script Source"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Navigate","Open from Clipboard","Ctrl+Shift+V","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Script Source"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Navigate","Open Declaration","F3","Editing Script Source"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","Editing PHP source"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"File","Close All","Ctrl+Shift+W","In Windows"
"StartExplorer","Start Shell Here","Ctrl+Alt+D","In Windows"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Navigate","Quick Outline","Ctrl+O","JSON editor"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Edit","Select Next Element","Alt+Shift+Right","Editing PHP source"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Uncategorized","Format paragraph","Alt+Q","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Source","Show Source Quick Menu","Ctrl+Alt+S","Editing PHP source"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Views","Show View ()","Alt+Shift+Q, T","In Windows"
"Source","Organize Use Statements","Ctrl+Shift+O","Editing PHP source"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"Run/Debug","Inspect","Ctrl+Shift+I","Editing PHP source"
"Run/Debug","Step Return","F7","Debugging"
"StartExplorer","Show in File Manager","Ctrl+Alt+E","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Navigate","Quick Hierarchy","Ctrl+T","Editing PHP source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Debug PHP Web Application","Alt+Shift+D, W","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Source","Open manual","Shift+F2","Editing PHP source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Git","Commit...","Alt+C","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","DLTK View"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"YEdit","Toggle Comment","Ctrl+Shift+C","YEdit editor context"
"Window","Next Editor","Ctrl+Tab","In Windows"
"Script Source","Toggle Comment","Ctrl+/","Editing Script Source"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"YEdit","Toggle Comment","Ctrl+/","YEdit editor context"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Refactor - DLTK","Rename - Refactoring ","Alt+Shift+R","Editing PHP source"
"File","New","Ctrl+N","Editing PHP source"
"StartExplorer","Copy Resource Path to Clipboard","Ctrl+Alt+C","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Navigate","Open Type Hierarchy","F4","DLTK View"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Edit","Delete","Delete","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Views","PHP Script Explorer","Alt+Shift+Q, E","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Run/Debug","Run PHP Web Application","Alt+Shift+X, W","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"SQL Results View","Terminate Result","Ctrl+Break","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Refactor - PHP","Move - Refactoring ","Alt+Shift+V","DLTK View"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","DLTK View"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","Debugging Script"
"Run/Debug","Run CLI Application","Alt+Shift+X, H","In Windows"
"Navigate","Open Selection","F3","DLTK View"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+Shift+T","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Edit","Toggle Comment","Ctrl+7","Editing PHP source"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","Editing PHP source"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Navigate","Next","Ctrl+.","In Windows"
"JavaScript Debug","Evaluate","Alt+Shift+E","Editing JavaScript Source"
"Window","EditBox Select box","Alt+Z","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
